file_name,tags,ratio
/home/yonah/Data/vt_report_pdf/29492d4820f7522c1e02c47aaafac98c76dbf448c1f636f975c8438b5a76be5c.html,"['invalid-xref', 'acroform', 'pdf', 'js-embedded']",29 / 42
/home/yonah/Data/vt_report_pdf/7fbaef81d73480405df333aaed74b752d6b335f06223413f2f58837249270660.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/4f314f4fbd599e68a5f5381dcd0a68a0c70c6b3914e3fb9aea30dc5704ebfeb3.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/b12a6feaf7b3fbb2937c0d37716e1b90552974b4b672e9869d0b17ab039f88bf.html,"['cve-2007-5659', 'js-embedded', 'exploit', 'autoaction', 'pdf', 'invalid-xref', 'acroform']",37 / 61
/home/yonah/Data/vt_report_pdf/0fb939084829de5ebabb69c3bc7e50a3f39f8efea1113b84013f7bb2c7f86034.html,"['pdf', 'acroform', 'invalid-xref']",33 / 42
/home/yonah/Data/vt_report_pdf/31a208990efbd922707562a5ad124087c9b684c2221d6c04c254435700bc7ec1.html,['pdf'], 1 / 57
/home/yonah/Data/vt_report_pdf/56999e0b646d5a6259ead193e77357db4e0450518689da2e1b9bfbaf1267e022.html,0,31 / 42
/home/yonah/Data/vt_report_pdf/a348a271196db830422153dbdf517da8b88a527dc140370503e994d7e1f2c115.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/eefd8383bcdf01e066d9164e51c6fedb2bcf6cc8d112993ef2ea7d70312f13ac.html,0,23 / 43
/home/yonah/Data/vt_report_pdf/ef64268827ee7ccc809d08c5d1e3aa9538802591fde759e12582ef32135d1432.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",36 / 51
/home/yonah/Data/vt_report_pdf/772e4b040b38b54cb637947f34ef20ea5ec952979a80bbaa8084634c05190cb3.html,0, 3 / 34
/home/yonah/Data/vt_report_pdf/8f8f5c02fc984588399712d7a895c601b50f136ad278c565a9d5b64115462b2c.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",33 / 54
/home/yonah/Data/vt_report_pdf/474225f23ee4138cdc9234f53c08bcb953cb2df3f2057df4d5392ba24fe92579.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",36 / 50
/home/yonah/Data/vt_report_pdf/7daa32c5dfad446df2209e9bf1d82b7aac7f72b502ab3cb977c840013b79cfdf.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/e57e33221795305605666c3723ba15c4147cf1a423671ecd631cf6eb2ee4a4d8.html,0, 3 / 42
/home/yonah/Data/vt_report_pdf/919247eccb40b8fffa8e88bf2663e16339ea6b168178f9acd991d808f2c7bb94.html,0,18 / 42
/home/yonah/Data/vt_report_pdf/4d627c84aa36f174f3725670f1b766ab33d45e1d9bcc6698df24bd60e2e8157f.html,"['pdf', 'acroform', 'invalid-xref']",22 / 46
/home/yonah/Data/vt_report_pdf/2b6d1441ee35764a616a608f41f24843e104ce4d693cf6339ee2d417fe8d9e02.html,0,31 / 42
/home/yonah/Data/vt_report_pdf/584c24dbb37fca57e5f0b086afecd10d559c94016970866ad529ad550a3e46fc.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/d1c6ef654eda2bd8ceed2307976640103c1c87d26914b98e0d88bcc7321d448f.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",33 / 46
/home/yonah/Data/vt_report_pdf/91613e53a4ffffccfea2b48404a94bffaa540799e7c3dfb28d2a91da396c4393.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",36 / 53
/home/yonah/Data/vt_report_pdf/21214019901af20f7465b7acc2d229dbb298d909f86efa4eba8d593dee6e22bd.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",40 / 54
/home/yonah/Data/vt_report_pdf/23339e7d85262791ff936de3ff4a2767766d45fbf6414200b73e735a0235701b.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/d79e25c064f72d55b228e5b70fe535013ecce7fffa13ab4bcc5eee962afc36ac.html,"['pdf', 'acroform', 'js-embedded', 'autoaction', 'invalid-xref']",26 / 45
/home/yonah/Data/vt_report_pdf/cbef5f8a7fd881370df0efb6ffa998bb7e50156bd00fdc15c8ac5848b3529cc9.html,"['invalid-xref', 'acroform', 'js-embedded', 'pdf']",39 / 54
/home/yonah/Data/vt_report_pdf/45878ea619c4a7687e5c5a6f7f68585f36234d273c30bba69250e81b02f65ef2.html,"['invalid-xref', 'pdf', 'autoaction', 'js-embedded']",36 / 61
/home/yonah/Data/vt_report_pdf/8a1e642016fd46320084fdf8536f47308f5193afa65f4dab6ae593b2b6b4006d.html,0,25 / 42
/home/yonah/Data/vt_report_pdf/9fc1543b765e267a80238a65a9657ad50543d12850bdd1a72fdbc2e1083dcaa4.html,0,27 / 43
/home/yonah/Data/vt_report_pdf/2954fc2ed8770d3722315005dc187dbd1853e2ce276ea38fb1245fb37c957b23.html,"['pdf', 'invalid-xref', 'acroform', 'autoaction', 'js-embedded']",44 / 61
/home/yonah/Data/vt_report_pdf/fff4c933be8f77ee40a59b1f2e6d0fd71d316014d404122bc3e7f2ff4e09579e.html,"['invalid-xref', 'acroform', 'file-embedded', 'pdf']",40 / 57
/home/yonah/Data/vt_report_pdf/e1b47169f8e7ae227af7fc44b5ebd824a23a0c2e603e4fd1acc98d695418d37a.html,0,17 / 43
/home/yonah/Data/vt_report_pdf/af4358c6fdcc1461211a4d2d4eb4585c758417ade3da3f22c2ad3fce50720960.html,"['pdf', 'autoaction', 'js-embedded']",32 / 50
/home/yonah/Data/vt_report_pdf/88e34d6a7c0b7052b458c59094e9256a43f6d18be3594d6c2e144442f1908b8f.html,"['cve-2009-4324', 'js-embedded', 'exploit', 'autoaction', 'invalid-xref', 'pdf']",35 / 61
/home/yonah/Data/vt_report_pdf/7b65e4050f171be0c254b1300c963f8b213dd2db73ea04db10f506b1774417a3.html,0,16 / 41
/home/yonah/Data/vt_report_pdf/14a620e433c952f4a8ab81be64fc9768001eaf18d3ce939addd73fb02078d28e.html,0,17 / 43
/home/yonah/Data/vt_report_pdf/857ca16147bc95d624d8027d17c2262ac081e903f29d0f16e0c7a787b10f4af4.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/b37e32353c4b3ac2a6a89104ed491e3cb8ee674e7fb9e24773a7ed9b96b86772.html,0,29 / 43
/home/yonah/Data/vt_report_pdf/2653c5976bdaf3ecfc8ca510f30717b37436f8e23292b978d221c4832a1b7f52.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/5ebb952239f4503a6c3c28bca89cacedf941ad93259d6b9fe792fda3096142cb.html,0,19 / 43
/home/yonah/Data/vt_report_pdf/c847c3ffee86debcc2b11dc0d9238cacbcbdf2f648c5ff9e463394de7756a618.html,"['pdf', 'invalid-xref', 'acroform', 'autoaction', 'js-embedded']",25 / 46
/home/yonah/Data/vt_report_pdf/0c26ea683b0609fab0cf39c211be92db928d0fd41c80a6f9547647fba9d75568.html,0,28 / 43
/home/yonah/Data/vt_report_pdf/692c275ddd176e5cd0c47febd1acae6c4ac47beddb61c8df007ad074f003f23e.html,0,24 / 44
/home/yonah/Data/vt_report_pdf/0c57da9ed2faae26808e31fc83439b816e649f3c72afccfad8822fdd2930ac8b.html,0,30 / 42
/home/yonah/Data/vt_report_pdf/6468275c83ac2bc0c42f43aa1e7c4daf3819b3cc0b9581ac73c7c54d77414d13.html,"['pdf', 'acroform', 'file-embedded', 'invalid-xref']",29 / 48
/home/yonah/Data/vt_report_pdf/75c6e81cb42d740e7648bf9400bdfcdade27e7e6c392e5ce370bf3b87100be5a.html,"['exploit', 'js-embedded', 'cve-2009-0927', 'autoaction', 'invalid-xref', 'pdf', 'acroform']",30 / 52
/home/yonah/Data/vt_report_pdf/6b6208625bd50ce05c8f33bff64101fab34ef10b8c71fa3dcc1d0bc64a952b2f.html,"['exploit', 'pdf', 'invalid-xref', 'acroform', 'file-embedded', 'cve-2010-0188']",36 / 50
/home/yonah/Data/vt_report_pdf/45c4f53c2b0601387dc1716f1c46170c88cdc92dd2eb28bd403f452663cff487.html,0,26 / 43
