class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/OKRs – The Fundamentals – Medium.pdf,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,1,240,0,782,189,1,33,0,0,0,0,0,0,0,0,0,0,0,782,0,0,13,0,1,189,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782.81713555,205482,7,2795.28042328,205297,18,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.719938526651,0.973195695394,0.00202884882021,0.999993733285,0.999993733285,0.999993733285,-1.0,-1.0,-1.0,0.534754294778,0.676623431559,0.0019301480668,0,0,0,0,0,0,0,0.0,816.231456757,49099.4577616,3377.21162234,638293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PDFSigQFormalRep.pdf,0,14,17,1,0,1,2,8,FALSE,0,28,0,18,0,0,0,8,38,0,57,33,7,27,0,0,0,0,0,0,0,4,0,5,0,57,15,0,56,0,7,33,0,0,0,0,1,1285082873,-25200,2478.94072724,1,8,14,1,2,2,2,22855,0,0,0,0,0,0,0,0,0,0,8198.50877193,348457,13,2425.96969697,19572,21,0,2,1285060018,-25200,2478.89663966,0,0,32,1,17,0,15,0,0,32,6,18,0,14,TRUE,0.417310130889,0.530678803774,0.281489344434,0.136678364726,0.685238976006,0.00143953729769,0.251496136316,0.99998932094,0.000922670790208,-1.0,-1.0,-1.0,0.655066168982,0.880917801139,0.00160826644682,2,20,33,2,3,7,3,0.0,8214.14020677,8360.82127927,14188.0601761,468206,0,0,0,0,0,0,0,0,35,44,1,0,4,5,6
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PE-Miner_Realtime_Mining_of_'Structural_Informatio.pdf,0,0,0,0,0,0,0,21,FALSE,0,0,0,0,0,0,0,21,34,0,182,52,1,51,0,0,0,0,0,0,0,0,0,0,0,182,0,0,21,0,1,52,0,1,1,0,0,-1,-1,-1.0,4,19,54,3,10,14,11,0,0,0,0,0,0,0,0,0,0,0,2122.09340659,102071,32,6861.73076923,101910,55,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.270285734802,0.943059890691,0.00219637419897,0.999989808008,0.999989808008,0.999989808008,-1.0,-1.0,-1.0,0.00474582810842,0.00748092186564,0.0018447504873,1,20,31,3,2,6,3,0.0,2156.40108705,18688.8086339,7547.40370101,392465,0,0,0,0,0,0,0,1,43,71,3,4,11,13,4
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PHP+MySql(GET方法+cookie+有错误信息).pdf,0,3,3,1,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,21,0,420,32,1,20,0,1,6,2,9,0,0,0,0,0,0,420,0,0,8,0,1,32,0,1,1,0,0,-1,-1,-1.0,0,13,50,1,4,30,3,0,0,8,4584969,0,0,0,0,0,0,0,2053.23095238,127822,14,25634.3125,127663,181,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.164075619785,0.986825605291,0.0389549484994,0.999995435858,0.999995435858,0.999995435858,0.287749349515,0.565321423967,0.0409209524907,0.208474156119,0.487227820269,0.0387016386409,0,13,50,1,4,30,3,5.2316119293,2086.65951884,109549.611306,27387.4053941,876397,0,0,0,0,0,0,0,0,5,16,1,0,10,1,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PHP+Mysql(GET+数值型+有错误信息).pdf,0,2,12,1,0,9,1,0,TRUE,0,0,0,0,0,0,0,0,26,0,492,42,1,21,0,0,15,2,17,0,0,0,0,0,0,492,0,0,9,0,1,42,0,1,1,0,0,-1,-1,-1.0,0,13,50,1,4,30,3,0,0,15,6042368,0,0,0,0,0,0,0,1355.71747967,81516,14,14691.0714286,81447,180,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.16049916857,0.980634673518,0.0190873202836,0.999994147238,0.999994147238,0.999994147238,0.315430480118,0.583150190654,0.0624109282773,0.225366456065,0.581656273137,0.0595942865337,0,13,50,1,4,30,3,8.8411355529,1389.10162319,75937.5471181,16272.3329459,683438,0,0,0,0,0,0,0,0,5,16,1,0,10,1,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PHP+Mysql(GET+本地文件包含+无错误回显).pdf,0,2,12,1,0,9,1,0,TRUE,0,0,0,0,0,0,0,0,24,0,447,28,1,20,0,1,4,2,7,0,0,0,0,0,0,447,0,0,7,0,1,28,0,1,1,0,0,-1,-1,-1.0,0,13,50,1,4,30,3,0,0,6,3041510,0,0,0,0,0,0,0,921.850111857,81516,14,13133.6785714,81447,182,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.167574839618,0.972283502185,0.0446274256327,0.999990632362,0.999990632362,0.999990632362,0.193793003311,0.354312157788,0.090465618428,0.170256144668,0.351885939644,0.0859199722718,0,13,50,1,4,30,3,7.12294087616,955.261742829,61000.277,15250.0708839,427002,0,0,0,0,0,0,0,0,5,16,1,0,10,1,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PHP+Mysql(POST+绕过后台+无回显).pdf,0,2,12,1,0,9,1,0,TRUE,0,0,0,0,0,0,0,0,24,0,514,40,1,23,0,5,6,3,14,0,0,0,0,0,0,514,0,0,8,0,1,40,0,1,1,0,0,-1,-1,-1.0,0,13,50,1,4,30,3,0,0,9,5946419,0,0,0,0,0,0,0,1180.50583658,81269,14,13887.875,81200,181,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.163110980935,0.978481974286,0.0672097727032,0.999993589148,0.999993589148,0.999993589148,0.268559188423,0.506507015075,0.0699343849268,0.166614645272,0.471268162746,0.0668539704011,0,13,50,1,4,30,3,9.53040346699,1213.89493927,77992.7402509,15598.54961,623942,0,0,0,0,0,0,0,0,5,16,1,0,10,1,5
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/PJUG.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,55,0,297,62,1,52,0,0,4,1,5,0,0,0,0,0,0,297,0,0,49,0,1,62,0,1,1,0,0,-1,-1,-1.0,2,10,19,1,3,4,2,0,0,4,1135934,0,0,0,0,0,0,0,905.323232323,108986,8,3973.9516129,108837,163,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.467620019696,0.973631537413,0.00175765836861,0.999985651768,0.999985651768,0.999985651768,-1.0,-1.0,-1.0,0.420496229197,0.75226702059,0.00153167372121,2,13,33,1,4,7,9,4.07466102303,938.653195493,5689.38763899,4496.45154038,278780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/Photoshop CS5 AppleScript Ref.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,542,0,899,626,2,0,0,0,1,0,1,0,0,0,0,0,0,899,332,0,271,0,2,626,0,0,0,0,1,1269353796,0,2448.59914352,1,8,14,1,2,2,2,1269353797,1,0,86500,0,36,49,1,0,7,6,931.605116796,23678,76,1192.99680511,23599,58,0,0,-1,-1,-1.0,0,0,32,1,23,0,9,0,0,32,1,16,0,16,TRUE,-1.0,-1.0,-1.0,0.482318365971,0.873072398185,0.00693215287332,0.500323148581,0.999994135234,0.000652161928523,0.0176728844911,0.0176728844911,0.0176728844911,0.482403978563,0.873145121277,0.00703068093447,2,20,33,1,3,7,3,0.101460443916,948.33036602,3145.93725776,1361.89935885,852549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FALSE,/home/fengjiao/MalwarePDFDetection/yo/small_data/normalpdf/Photoshop CS5 JavaScript Ref.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,466,0,809,574,2,0,0,0,1,0,1,0,0,0,0,0,0,809,318,0,233,0,2,574,0,0,0,0,1,1269352963,0,2448.59753665,1,8,14,1,2,2,2,1269352964,1,0,86500,0,45,62,1,0,9,8,1144.14833127,24627,77,1440.81184669,24548,59,0,0,-1,-1,-1.0,0,0,32,1,19,0,13,0,0,32,1,18,0,14,TRUE,-1.0,-1.0,-1.0,0.452310701219,0.851260657016,0.00702615960346,0.500305207781,0.999994682791,0.000615732769851,0.0213018015767,0.0213018015767,0.0213018015767,0.452389377652,0.851327653845,0.00711761559346,2,20,33,1,3,7,3,0.0919877108672,1162.35228534,4035.80684963,1638.22822014,940343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
