class,TRUE,TRUE,TRUE,TRUE,TRUE,,,
filename,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/VirusShare_00ba5c43b1cec186c634c24ac21982d3.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FtmpxDwAoE.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FCtmpRQQRjJ.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FTtmpxDwAoE.pdf,/home/yonah/Data/God_with_me/2018Q2/Acase1/ac4/FTC_tmpAdqVzZ.pdf,,,
pos_page_avg,0.858449304,0.822998729,0.011258505,0.822998729,0.12097564,No match,,
pos_page_max,0.858449304,0.822998729,0.011581126,0.822998729,0.127846783,No match,,
pos_page_min,0.858449304,0.822998729,0.007477168,0.822998729,0.100688669,No match,,
producer_dot,0,1,2,1,2,No match,,
producer_lc,0,8,20,8,20,No match,,
producer_len,0,19,35,19,35,No match,,
producer_mismatch,0,1,1,1,1,No match,,
producer_num,0,5,3,5,3,No match,,
producer_oth,0,6,9,6,9,No match,,
producer_uc,0,0,3,0,3,Match,No Match,
ratio_imagepx_size,0,0,12.81749914,0,0,Match,Match,No Match
ratio_size_obj,443.8235033,462.9411492,5347.141942,462.9411492,784.4756002,No match,,
ratio_size_page,7544.992455,7869.99213,57749.12948,7869.99213,16081.74598,No match,,
ratio_size_stream,1257.49979,1311.666448,30937.03461,1311.666448,3216.349839,No match,,
size,7545,7870,866237,7870,64327,No match,,
subject_dot,0,0,0,0,0,Match,Match,Match
subject_lc,0,0,0,0,53,Match,No Match,
subject_len,0,2,0,2,73,No match,,
subject_mismatch,0,1,0,1,1,No match,,
subject_num,0,0,0,0,4,Match,No Match,
subject_oth,0,0,0,0,10,Match,No Match,
subject_uc,0,2,0,2,6,No match,,
title_dot,0,0,0,0,0,Match,Match,Match
title_lc,0,0,0,0,10,Match,No Match,
title_len,0,8,0,8,21,No match,,
title_mismatch,0,1,0,1,1,No match,,
title_num,0,3,0,3,8,No match,,
title_oth,0,4,0,4,2,No match,,
title_uc,0,1,0,1,1,No match,,
version,4,7,4,7,6,No match,,
